focus,manager,functional.bucket,location,level,num.reports.FTE,num.reports.managers,min.depth,max.depth,mean.depth,sd.depth,is.leaf,layer,num.dist.levels,manager.level,equal.dyads,align.dyads,misalign.dyads,loc.entropy,loc.herfindahl,tenure.total,tenure.manager,IsDirector,IsVP,num.dir.total.reports,org.FTE.size,org.total.size,org.FTE.yrly.growth,avg.tenure,avg.level,avg.depth,avg.span,perc.managers.single.FTE,perc.managers.two.FTE,ratio.VP.to.FTE,ratio.Dir.to.FTE,ratio.SWE.to.PM,ratio.UX.to.PM,ratio.TechPM.to.PM,num.locs,perc.manager.coloc,num.lonely.FTE,direct.report.satisfaction,VP.DIR.vision,count.VP.DIR.vision,VP.DIR.decisions,count.VP.DIR.decisions,org.climate.satisfaction,count.org.climate.satisfaction,org.climate.strong.performance,org.climate.avg.performance,avg.time.in.level,avg.promo.rate
Aaliyah,Layna,engineering,AU-SYD,6,6,0,1,1,1,0,1,5,1,8,0,6,0,0,1,6.4,1.8,0,0,6,7,7,0.4,4.9,4.4,6.9,6,0,0,0,0,0,0,0,1,1,0,0.96,0,0,0,0,1,4,0.8,0.2,1.9,0.2
Aarika,Cornel,engineering,US-SFO,5,10,0,1,1,1,0,1,7,1,7,0,10,0,0,1,4,1.9,0,0,10,11,11,0.57,3.7,4,8.9,10,0,0,0,0,0,0,0,1,1,0,0.95,0,0,0,0,0.5,8,0.5,0.5,2.2,0.1
Abdallah,Emmeline,ux team,US-NYC,7,6,4,2,2,2,0,0,5,3,8,0,11,0,0,1,5.1,4.2,0,0,6,14,16,-0.07,4.1,4.5,7.4,2.6,0.4,0.2,0,0,0,0,0,4,0.36,0,0.94,0,0,0,0,1,8,0.8,0.2,2.8,0
Abdulaziz,Nichalas,engineering,US-SFO,6,4,0,1,1,1,0,1,7,1,6,0,4,0,0,1,4,0.7,0,0,4,5,5,4,5.3,5.2,8.8,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.75,4,0.6,0.4,4.3,0.1
Abelina,Laszlo,engineering,US-SFO,8,15,3,2,2,2,0,0,5,2,8,0,19,0,0,1,11.8,6.3,1,0,16,32,39,0.14,6.5,5.2,7.5,7.8,0,0,0,32,0,0,0,3,0.94,0,0.83,0.8261,23,0.7826,23,0.82,28,0.86,0.14,3.3,0.07
Abimbola,Marianna,engineering,US-SFO,6,3,0,1,1,1,0,1,6,1,7,0,3,0,0,1,6.3,0.5,0,0,3,4,4,3,5.1,4.5,7.8,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,1.7,0.4
Abrielle,Kandace,product management,US-SFO,7,3,3,2,2,2,0,0,4,2,8,0,26,0,1.5,0.375,9.4,3.1,0,0,3,27,28,0.04,3.5,4.9,6.8,6.5,0,0,0,0,0,0,0,4,0.89,0,0.97,0,0,0,0,1,23,0.5,0.5,2.3,0
Abril,Starlett,engineering,JP-TOK,7,5,0,1,1,1,0,1,5,1,8,0,5,0,0,1,13.5,4.3,0,0,5,6,6,0,8.4,4.8,6.8,5,0,0,0,0,0,0,0,2,0.67,0,0.89,0,0,0,0,0.8,5,0.6,0.4,3.2,0.1
Ace,Coburn,product management,TW-TPE,5,5,0,1,1,1,0,1,8,1,5,0,5,0,0,1,2.2,2.2,0,0,5,6,6,0.5,2.3,3.7,9.8,5,0,0,0,0,0,0,0,2,0.83,0,0.94,0,0,0,0,1,3,0.5,0.4,1.6,0.3
Adana,Monico,product management,SG-SIN,6,4,0,1,1,1,0,1,4,1,8,0,4,0,0,1,7.3,0.2,0,0,5,5,6,4,3.7,5.2,5.8,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.7,0.3,2.5,0
Addam,Deshaun,engineering,DE-MUC,5,3,0,1,1,1,0,1,5,1,8,0,3,0,0,1,7,1.1,0,0,3,4,4,0.33,2.5,4,6.8,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0.8,0.2,1.4,0.2
Adebola,Sabra,product management,US-SFO,6,2,0,1,1,1,0,1,5,1,8,0,2,0,0,1,12,5.2,0,0,2,3,3,0,6.2,5,6.7,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.3,3.1,0
Adia,Gaetano,engineering,US-SFO,6,10,1,2,2,2,0,0,6,2,0,0,4,0,0,1,11.7,2.8,0,0,10,14,14,0.08,4.2,4.4,8.1,6.5,0,0,0,0,0,0,0,2,0.86,0,0.66,0,0,0,0,0.78,9,0.8,0.2,2.2,0.1
Adma,Jaime,engineering,US-BVE,5,5,0,1,1,1,0,1,5,1,8,0,5,0,0,1,9.3,8.5,0,0,5,6,6,0,7.8,4.2,6.8,5,0,0,0,0,0,0,0,1,1,0,0.97,0,0,0,0,1,5,0.6,0.4,7.1,0
Adria,Joleen,product management,US-BVE,6,2,0,1,1,1,0,1,5,1,9,0,2,0,0,1,3.9,0.1,0,0,2,3,3,2,3.2,5.7,6.7,2,0,1,0,0,0,0,0,3,0.33,0,0,0,0,0,0,0,0,0.7,0.3,2.1,0.2
Adrianna,Blaze,product management,US-SFO,6,5,0,1,1,1,0,1,5,1,7,0,5,0,0,1,8.2,2.5,0,0,5,6,6,0,4.8,4.2,6.8,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,5,0.4,0.6,2.2,0.2
Aicia,Kamar,product management,US-SFO,8,3,0,1,1,1,0,1,2,1,13,0,3,0,0,1,7.9,5.3,1,0,3,4,4,1,9,6.8,3.8,3,0,0,0,4,0,0,0,2,0.75,0,0,0,0,0,0,0,0,0.9,0.1,4.4,0
Aileen,Shanea,product management,JP-TOK,5,2,0,1,1,1,0,1,6,1,7,0,2,0,0,1,8.8,1,0,0,4,3,5,-0.25,8.6,4,7.7,2,0,1,0,0,0,0,0,2,0.33,0,0.9,0,0,0,0,0,0,0.7,0.3,3.7,0
Aisling,Mick,engineering,UK-LON,5,3,0,1,1,1,0,1,5,1,7,0,3,0,0,1,1.4,0.8,0,0,4,4,5,3,2.8,4.5,6.8,3,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0.2,0.8,2.8,0
Aissa,Krystina,engineering,US-SFO,6,2,0,1,1,1,0,1,6,1,8,0,2,0,0,1,5.1,1.6,0,0,2,3,3,0.5,3.1,4.7,7.7,2,0,1,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0,0,0.7,0.3,2.7,0.2
Ajay,Abrielle,engineering,KR-SEO,6,7,0,1,1,1,0,1,5,1,7,0,7,0,0,1,3.4,1.4,0,0,7,8,8,0,2.1,4.4,6.9,7,0,0,0,0,0,0,0,1,0.88,0,0.97,0,0,0,0,1,6,0.6,0.4,1.9,0
Akelia,Felipe,engineering,CA-MON,5,4,0,1,1,1,0,1,7,1,6,0,4,0,0,1,4,1.7,0,0,4,5,5,4,3.2,3.8,8.8,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.6,0.4,2.1,0
Akil,Fancy,engineering,CA-WAT,8,10,6,2,3,2.5,0.547722558,0,4,4,9,1,61,0,1.238901257,0.479289941,9.4,9.4,1,0,10,89,91,1.34,6.1,4.9,7.3,6.8,0,0,0,89,0,0,0,13,0.71,2,0.89,0.9048,63,0.9016,61,0.88,72,0.67,0.31,3.5,0.08
Akiya,Anabelle,product management,US-LAX,6,8,2,2,2,2,0,0,6,2,7,0,10,0,0,1,0.4,0.3,0,0,8,17,17,0,4.6,4.4,8.4,5.3,0,0,0,0,0,0,0,1,0.94,0,0.88,0,0,0,0,1,3,0.7,0.3,2.8,0
Alani,Elizabet,engineering,DE-MUC,6,8,1,2,2,2,0,0,5,2,8,0,6,0,0,1,9.6,6.8,0,0,8,14,15,0.56,3.2,3.9,7.3,6.5,0,0,0,0,0,0,0,1,1,0,0.79,0,0,0,0,1,9,0.7,0.3,1.9,0.1
Alaric,Chandell,engineering,US-SFO,5,5,0,1,1,1,0,1,7,1,6,0,5,0,0,1,8.9,0.3,0,0,5,6,6,5,3.3,4.3,8.8,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.4,0.6,2.5,0
Albaro,Fallyn,product management,US-SFO,7,24,0,1,1,1,0,1,5,1,9,0,24,0,0,1,9.3,8.6,0,0,24,25,25,0.25,6.5,4.4,7,24,0,0,0,0,0,0,0,1,1,0,0.95,0,0,0,0,0.94,17,0.7,0.3,3.9,0.1
Aleece,Latieka,engineering,US-SEA,6,9,2,2,2,2,0,0,5,2,8,1,10,0,0,1,8.9,5.3,0,0,9,19,20,0.06,5.7,4.7,7.4,6,0,0,0,0,0,0,0,1,0.95,0,0.88,0,0,0,0,0.94,18,0.7,0.3,3.2,0.1
Aleida,Julisa,engineering,US-SFO,6,14,5,2,3,2.4,0.547722558,0,6,4,9,1,63,0,0.468995594,0.82,7,5,0,0,18,99,136,98,2.3,3,9.2,9.8,0,0,0,0,0,0,0,5,0.45,0,0.8,0,0,0,0,0.57,91,0.64,0.36,1.8,0.14
Alesia,Josemiguel,product management,US-SFO,6,14,0,1,1,1,0,1,6,1,8,0,14,0,0,1,1.1,1,0,0,14,15,15,0.67,2.3,4.1,7.9,14,0,0,0,0,0,0,0,1,1,0,0.89,0,0,0,0,0.91,11,0.6,0.4,1.5,0
Alexes,Nickia,product management,US-SFO,6,8,0,1,1,1,0,1,7,1,6,0,8,0,0,1,0.4,0.2,0,0,8,9,9,0,4.9,4.6,8.9,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.4,0.6,3.4,0
Alexys,Felecia,product management,US-SFO,6,3,0,1,1,1,0,1,6,1,6,0,3,0,0,1,6.2,6,0,0,3,4,24,-0.2,2.8,4.3,7.8,3,0,0,0,0,0,0,0,2,0.25,0,0.74,0,0,0,0,0.75,4,1,0,2.2,0
Alia,Michaell,product management,UK-LON,6,8,0,1,1,1,0,1,6,1,8,0,8,0,0,1,6,6,0,0,11,9,12,0.13,3.3,4.1,7.9,8,0,0,0,0,0,0,0,1,0.89,0,0.97,0,0,0,0,0.86,7,0.6,0.4,2.7,0.1
Aliah,Rodriques,engineering,US-SFO,6,4,0,1,1,1,0,1,4,1,8,0,4,0,0,1,5,4.2,0,0,5,5,6,0.67,2.9,4.4,5.8,4,0,0,0,0,0,0,0,1,1,0,0.97,0,0,0,0,1,3,0.4,0.6,2,0.1
Aliya,Perez,product management,US-SFO,7,5,3,2,3,2.333333333,0.577350269,0,4,2,8,0,14,0,0,1,11,10.4,0,0,6,23,44,1.56,6.1,5.2,6.7,4.4,0.2,0,0,0,0,0,0,6,0.43,1,0.9,0,0,0,0,0.9,20,0.7,0.3,3.2,0.1
Allena,Isela,product management,US-BVE,8,8,1,2,2,2,0,0,4,2,9,0,4,0,0,1,2.7,2.6,1,0,8,12,13,0.71,2.6,5,6.2,5.5,0,0,0,12,0,0,0,4,0.33,0,0.91,0.6667,9,1,8,0.78,9,0.7,0.2,1.3,0.1
Almeta,Raelynn,product management,TW-TPE,5,8,0,1,1,1,0,1,7,1,7,0,8,0,0,1,2.2,2.2,0,0,8,9,9,0,2.3,3.8,8.9,8,0,0,0,0,0,0,0,1,1,0,0.77,0,0,0,0,0.75,8,0.7,0.3,1.9,0.2
Alta,Ivy,product management,UK-LON,6,2,0,1,1,1,0,1,6,1,6,0,2,0,0,1,3.1,2.5,0,0,2,3,4,-0.9,2.6,4.7,7.7,2,0,1,0,0,0,0,0,1,1,0,0.96,0,0,0,0,0.89,36,1,0,2.6,0
Alva,Richard,engineering,CN-PEK,7,11,0,1,1,1,0,1,6,1,7,0,11,0,0,1,11.7,6.2,0,0,11,12,12,0.2,6.2,4.5,7.9,11,0,0,0,0,0,0,0,1,1,0,0.98,0,0,0,0,1,10,0.7,0.3,2.3,0.2
Alvina,Yasheka,operations,US-SFO,6,1,0,1,1,1,0,1,5,1,7,0,1,0,0,1,1.9,0,0,0,3,2,4,1,5.4,5.5,6.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8,0.3,2,0
Alys,Alani,engineering,DE-MUC,5,5,0,1,1,1,0,1,6,1,6,0,5,0,0,1,7.5,0.1,0,0,5,6,6,5,3,3.7,7.8,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.9,0.1,1.8,0
Alysse,Pavel,ux team,US-SFO,6,6,0,1,1,1,0,1,5,1,8,0,6,0,0,1,6.8,3.2,0,0,6,7,12,0.4,3,4.3,6.9,6,0,0,0,0,0,0,0,2,0.57,0,0.8,0,0,0,0,1,5,0.8,0.2,1.1,0.2
Amadeo,Jinnie,engineering,US-SFO,5,3,0,1,1,1,0,1,6,1,6,0,3,0,0,1,3.7,0.1,0,0,3,4,4,3,1.8,3.8,7.8,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8,0.3,1,0.1
Amber,Brian,ux team,UK-LON,5,8,1,2,2,2,0,0,6,1,6,0,1,0,0,1,3.5,2,0,0,8,10,10,0.25,1.8,4.1,8,4.5,0.5,0,0,0,0,0,0,1,1,0,0.88,0,0,0,0,0.86,7,0.6,0.4,1.4,0.1
Ambera,Tawny,product management,US-BVE,8,3,3,2,3,2.666666667,0.577350269,0,4,3,10,0,16,0,0,1,4.7,4.6,1,0,3,31,64,0.19,4.5,4.6,7,5,0.17,0,0,31,0,0,0,3,0.87,0,0.97,0.92,25,0.9615,26,0.96,28,0.65,0.35,2.4,0.08
Ambika,Dayana,advocates,US-SFO,8,5,3,2,3,2.333333333,0.577350269,0,5,5,8,0,19,0,1.459147917,0.388888889,8.9,8.9,1,0,5,22,26,0.22,5,4.9,7.9,3.5,0,0.5,0,22,0,0,0,10,0.18,0,0.91,0.8333,18,1,18,0.89,18,0.7,0.3,2.2,0.1
Ameera,Anneke,research,US-SFO,5,5,0,1,1,1,0,1,6,1,7,0,5,0,0,1,6,0.7,0,0,5,6,6,5,3.8,4,7.8,5,0,0,0,0,0,0,0,2,0.83,1,0,0,0,0,0,0,0,0.7,0.3,1.8,0.2
Amica,Carlton,research,US-SFO,6,5,0,1,1,1,0,1,6,1,7,0,5,0,0,1,6,1,0,0,5,6,6,0.5,4.9,4.5,7.8,5,0,0,0,0,0,0,0,2,0.83,0,1,0,0,0,0,1,3,0.5,0.5,3,0
Amish,Archana,product management,US-SFO,7,4,0,1,1,1,0,1,5,1,7,0,4,0,0,1,12.9,9,0,0,4,5,5,0.25,6.8,5,6.8,4,0,0,0,0,0,0,0,2,0.6,0,0.97,0,0,0,0,1,3,0.7,0.3,3.5,0
Amjad,Lise,engineering,US-SFO,6,3,0,1,1,1,0,1,6,1,7,0,3,0,0,1,5.8,1.3,0,0,3,4,4,0,2.2,3.8,7.8,3,0,0,0,0,0,0,0,1,1,0,0.97,0,0,0,0,1,3,0.7,0.3,0.8,0.2
Anabelle,Latieka,product management,US-SFO,7,10,6,2,3,2.166666667,0.40824829,0,5,3,8,1,40,0,0,1,9,5.6,0,0,10,52,52,0.49,5.9,4.5,7.9,5.7,0,0.22,0,0,0,0,0,6,0.81,0,0.92,0,0,0,0,0.86,28,0.66,0.33,3.8,0.03
Anais,Khai,operations,DE-HAM,5,1,0,1,1,1,0,1,5,1,7,0,1,0,0,1,0.7,0.2,0,0,1,2,2,0,0.6,4.5,6.5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.6,0
Analiese,Marshea,product management,US-SFO,7,5,0,1,1,1,0,1,4,1,8,0,5,0,0,1,3.9,3.6,0,0,5,6,6,0,4.7,5.8,5.8,5,0,0,0,0,0,0,0,2,0.83,0,0.8,0,0,0,0,0.8,5,0.8,0.3,3.1,0
Analilia,Merline,engineering,TW-TPE,5,6,0,1,1,1,0,1,7,1,6,0,6,0,0,1,2.2,2.2,0,0,6,7,7,0,2.3,3.4,8.9,6,0,0,0,0,0,0,0,1,1,0,0.68,0,0,0,0,0.67,6,0.6,0.4,2.1,0.1
Ange,Mickael,engineering,UK-LON,5,3,0,1,1,1,0,1,5,1,8,0,3,0,0,1,5.6,1.3,0,0,3,4,4,-0.2,4.3,4.3,6.8,3,0,0,0,0,0,0,0,1,1,0,0.92,0,0,0,0,0.67,3,0.8,0.3,2.4,0
Angelia,Anabelle,engineering,US-SEA,7,2,0,1,1,1,0,1,6,1,7,0,2,0,0,1,5.6,3.9,0,0,2,3,3,0.5,4.8,5,7.7,2,0,1,0,0,0,0,0,1,0.67,0,0,0,0,0,0,0,0,0.4,0.6,4.8,0
Angelicamaria,Casaundra,engineering,US-CAM,5,4,0,1,1,1,0,1,7,1,7,0,4,0,0,1,4.9,1.4,0,0,6,5,7,0.67,4.4,4,8.8,4,0,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,1,6,0.8,0.3,3.6,0
Angelicia,Shanea,product management,UK-LON,5,1,0,1,1,1,0,1,6,1,7,0,1,0,0,1,5.8,1,0,0,1,2,2,-0.5,3.6,4.5,7.5,1,1,0,0,0,0,0,0,1,0.5,0,0.82,0,0,0,0,1,3,0.5,0.5,2,0
Angelisa,Tene,product management,US-SFO,7,15,2,2,3,2.5,0.707106781,0,7,4,8,0,11,0,1,0.5,3.9,3.9,0,0,15,28,67,3.67,5,4.3,9.5,6.8,0,0,0,0,0,0,0,5,0.75,0,0.93,0,0,0,0,1,3,0.62,0.36,2.2,0.19
Angelle,Dynisha,product management,US-SFO,6,9,0,1,1,1,0,1,7,1,7,0,9,0,0,1,1.8,1.7,0,0,9,10,13,0,2.7,4,8.9,9,0,0,0,0,0,0,0,2,0,0,0.91,0,0,0,0,1,7,0.4,0.6,2.1,0.1
Anjana,Myisha,engineering,US-SFO,6,2,0,1,1,1,0,1,5,1,7,0,2,0,0,1,14.5,1.2,0,0,2,3,3,0,6.9,5,6.7,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.3,4.2,0.2
Anjuli,Dontee,engineering,TW-TPE,5,13,0,1,1,1,0,1,8,1,6,0,13,0,0,1,2.2,2.2,0,0,13,14,14,0.4,2.3,3.6,9.9,13,0,0,0,0,0,0,0,2,0.79,0,0.83,0,0,0,0,1,9,0.4,0.6,1.9,0.1
Annalise,Emile,engineering,US-BLD,6,11,0,1,1,1,0,1,7,1,6,0,11,0,0,1,13.6,1.5,0,0,11,12,12,1,3.3,4.4,8.9,11,0,0,0,0,0,0,0,2,0.83,0,0.89,0,0,0,0,1,10,0.4,0.5,1.4,0
Annamarie,Teala,engineering,UK-LON,6,12,0,1,1,1,0,1,5,1,7,0,12,0,0,1,5.1,5,0,0,12,13,13,0.86,5.7,4.4,6.9,12,0,0,0,0,0,0,0,3,0.54,0,0.98,0,0,0,0,0.8,5,0.7,0.3,2.8,0.1
Anneke,Emerson,product management,US-SFO,7,4,1,2,2,2,0,0,5,2,8,0,6,0,0,1,6,3.6,0,0,4,10,10,-0.62,5.5,4.6,7.4,4.5,0,0,0,0,0,0,0,2,0.9,1,0.71,0,0,0,0,0.89,9,0.6,0.4,2,0.2
Anneliese,Jakita,product management,UK-LON,8,6,5,2,3,2.8,0.447213595,0,4,3,10,3,106,0,0,1,11.5,5.5,1,0,6,117,122,0.1,3.9,4.4,7.7,6.8,0,0,0,117,0,0,0,1,0.99,0,0.88,0.8966,87,0.8953,86,0.81,99,0.58,0.42,1.9,0.09
Annika,Jamey,product management,US-SFO,8,6,4,3,3,3,0,0,5,3,9,3,24,0,0,1,15.7,14.8,1,0,6,68,75,0.39,5.3,4.4,8.1,6.1,0.09,0.09,0,68,0,0,0,5,0.88,0,0.95,0.8718,39,0.8974,39,0.95,42,0.63,0.36,3.3,0.05
Anselma,Khai,advocates,NL-AMS,5,1,0,1,1,1,0,1,5,1,7,0,1,0,0,1,1.5,0.1,0,0,2,2,3,1,1,4.5,6.5,1,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1,0
Ansley,Taleen,engineering,TW-TPE,4,8,0,1,1,1,0,1,8,1,5,0,8,0,0,1,2.2,2.2,0,0,8,9,9,0.5,2.3,3.4,9.9,8,0,0,0,0,0,0,0,2,0.89,0,1,0,0,0,0,1,9,0.5,0.5,1.9,0.2
Anson,Katelynne,product management,US-SFO,5,1,0,1,1,1,0,1,5,1,6,0,1,0,0,1,2.2,0.1,0,0,13,2,14,1,1.2,4.5,6.5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1.2,0
Antiono,Dynisha,product management,US-SFO,6,9,0,1,1,1,0,1,7,1,7,0,9,0,0,1,5.5,5.4,0,0,10,10,11,0,3.8,4.1,8.9,9,0,0,0,0,0,0,0,1,1,0,0.94,0,0,0,0,1,8,0.4,0.6,2.4,0.1
Antoinette,Jaime,product management,US-BVE,6,11,0,1,1,1,0,1,5,1,8,0,11,0,0,1,0.3,0.3,0,0,11,12,12,0,4.8,4,6.9,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.2,4.2,0
Antonette,Kameka,engineering,US-Others,6,5,0,1,1,1,0,1,5,1,8,0,5,0,0,1,9.2,2.4,0,0,5,6,6,0.2,5.4,4.8,6.8,5,0,0,0,0,0,0,0,3,0.17,0,0.94,0,0,0,0,1,4,0.4,0.5,2.5,0
Antonietta,Katelynne,product management,US-NYC,5,2,0,1,1,1,0,1,5,1,6,0,2,0,0,1,5.1,5.1,0,0,4,3,5,2,2.5,3.7,6.7,2,0,1,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0,0,0.5,0.5,1.9,0
Antonita,Jameil,product management,US-SFO,5,5,0,1,1,1,0,1,7,1,7,0,5,0,0,1,7.7,1,0,0,9,6,35,0.5,7.2,4.2,8.8,5,0,0,0,0,0,0,0,2,0.67,0,0.98,0,0,0,0,1,5,0.5,0.5,2.2,0.1
Antrone,Fallyn,product management,US-IRV,7,15,0,1,1,1,0,1,5,1,9,0,15,0,0,1,9.3,9.3,0,0,15,16,19,0.07,5.9,4.6,6.9,15,0,0,0,0,0,0,0,4,0.19,0,0.94,0,0,0,0,1,15,0.5,0.5,4.6,0
Antuan,Laszlo,engineering,US-SFO,7,14,2,2,2,2,0,0,5,3,8,0,9,0,0,1,5.9,4.4,0,0,14,22,22,1,3.3,4,7.3,7,0,0,0,0,0,0,0,1,1,0,0.92,0,0,0,0,0.84,19,0.7,0.3,2,0.1
Antwaine,Steffon,product management,US-SFO,6,4,0,1,1,1,0,1,6,1,8,0,4,0,0,1,11.9,1.8,0,0,4,5,28,0.25,7.1,4.8,7.8,4,0,0,0,0,0,0,0,1,1,0,0.94,0,0,0,0,0.67,3,0.5,0.5,4.9,0
Any,Carmin,operations,FR-PAR,6,2,0,1,1,1,0,1,5,1,7,0,2,0,0,1,1.1,0.2,0,0,2,3,3,2,2.4,5,6.7,2,0,1,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0,0,0.7,0.3,1.4,0
Apollo,Camryn,engineering,TW-TPE,5,8,0,1,1,1,0,1,8,1,5,0,8,0,0,1,2.2,2.2,0,0,8,9,9,0,2.3,3.4,9.9,8,0,0,0,0,0,0,0,1,1,0,0.9,0,0,0,0,0.88,8,0.6,0.4,2,0.1
Araceli,Ceasar,engineering,US-SAN,6,2,0,1,1,1,0,1,6,1,6,0,2,0,0,1,9.6,2.3,0,0,2,3,3,-0.75,4.7,5,7.7,2,0,1,0,0,0,0,0,1,0.67,0,0,0,0,0,0,0,0,0.5,0.5,2.5,0
Archana,Jevin,product management,US-SFO,7,5,5,2,3,2.2,0.447213595,0,4,3,9,4,40,0,0.591672779,0.755102041,4.2,3.2,0,0,5,53,64,1.3,3.7,4.5,6.9,7.4,0,0,0,0,0,0,0,6,0.87,0,0.94,0,0,0,0,0.86,64,0.62,0.37,2.1,0.11
Aren,Thad,engineering,TW-TPE,5,12,0,1,1,1,0,1,8,1,6,0,12,0,0,1,2.2,2.2,0,0,12,13,13,0,2.3,3.4,9.9,12,0,0,0,0,0,0,0,2,0.92,0,0.98,0,0,0,0,0.83,12,0.6,0.4,1.8,0.2
Ares,Akil,engineering,US-SFO,6,4,0,1,1,1,0,1,5,1,8,0,4,0,0,1,11.6,1,0,0,4,5,5,0.67,3.8,4.2,6.8,4,0,0,0,0,0,0,0,2,0.4,0,0.87,0,0,0,0,1,3,1,0,2.4,0
Arial,Crystalina,product management,US-SFO,5,2,0,1,1,1,0,1,5,1,6,0,2,0,0,1,1.4,0.8,0,0,7,3,8,2,1.1,4,6.7,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.3,0.8,1.1,0
Ariela,Mirna,engineering,CN-PEK,5,4,0,1,1,1,0,1,5,1,6,0,4,0,0,1,6.4,0.3,0,0,4,5,5,4,2.4,3.8,6.8,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.3,1.3,0.1
Aris,Cinque,product management,US-NYC,6,10,0,1,1,1,0,1,5,1,7,0,10,0,0,1,6.8,5.9,0,0,10,11,11,-0.69,5.1,4.7,6.9,10,0,0,0,0,0,0,0,1,1,0,0.8,0,0,0,0,0.7,23,0.7,0.3,2.8,0.1
Aristeo,Anabelle,engineering,US-SEA,5,6,0,1,1,1,0,1,6,1,7,0,6,0,0,1,4.7,3.6,0,0,6,7,7,0,4,3.9,7.9,6,0,0,0,0,0,0,0,1,0.86,0,0.97,0,0,0,0,0.67,6,0.7,0.3,3,0
Aristides,Devra,engineering,UK-LON,5,6,0,1,1,1,0,1,6,1,6,0,6,0,0,1,2.8,2.8,0,0,6,7,7,0.75,2.8,4.1,7.9,6,0,0,0,0,0,0,0,2,0.71,0,0.84,0,0,0,0,1,4,0.6,0.4,1.5,0.1
Arline,Sameul,engineering,DE-MUC,6,1,0,1,1,1,0,1,6,1,7,0,1,0,0,1,13.4,3.2,0,0,1,2,2,-0.33,13.8,5.5,7.5,1,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,7.5,0
Arman,Ambera,product management,US-BVE,6,8,0,1,1,1,0,1,5,1,8,0,8,0,0,1,4.3,3.2,0,0,8,9,9,0.5,6.1,4.7,6.9,8,0,0,0,0,0,0,0,3,0.67,0,0.92,0,0,0,0,1,7,0.5,0.5,3.2,0.1
Artur,Kareem,engineering,US-SFO,7,5,3,2,2,2,0,0,5,2,8,0,22,0,0,1,7,3.1,0,0,5,25,25,2.13,2.6,4.8,7.7,6,0,0,0,0,0,0,0,3,0.72,0,0.9,0,0,0,0,0.86,21,0.6,0.4,1.4,0.2
Arvind,Lanedra,engineering,UK-LON,6,5,0,1,1,1,0,1,5,1,8,0,5,0,0,1,7,2.2,0,0,5,6,6,0,4.5,4.3,6.8,5,0,0,0,0,0,0,0,1,1,0,0.98,0,0,0,0,0.75,4,0.9,0.1,2,0.1
Ashleen,Javonte,advocates,US-SFO,7,5,1,2,2,2,0,0,4,1,9,1,3,0,0,1,1.5,1.5,0,0,5,9,9,-0.25,3.8,5.8,6.2,4,0,0,0,0,0,0,0,6,0.11,0,0.97,0,0,0,0,1,8,0.4,0.6,2.7,0.1
Ashlin,Carmelle,engineering,US-SFO,5,3,0,1,1,1,0,1,6,1,6,0,3,0,0,1,7.4,2.9,0,0,3,4,4,0,6.3,3.8,7.8,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,4.1,0
Ashlynne,Kareem,engineering,US-SFO,7,5,1,2,2,2,0,0,5,2,8,0,3,0,0,1,9.6,4.7,0,0,5,8,10,-0.11,5.4,5,7.1,3.5,0,0.5,0,0,0,0,0,1,1,0,1,0,0,0,0,1,7,0.6,0.4,1.7,0.2
Asley,Debby,executive,US-SFO,10,1,0,1,1,1,0,1,3,1,11,0,1,0,0,1,13.6,9.7,0,1,1,2,2,-1,12.2,7.5,4.5,1,1,0,2,0,0,0,0,1,1,0,0.64,0.6465,430,0.6811,417,0.87,734,1,0,6.7,0
