focus,manager,functional.bucket,location,level,num.reports.FTE,num.reports.managers,min.depth,max.depth,mean.depth,sd.depth,is.leaf,layer,num.dist.levels,manager.level,equal.dyads,align.dyads,misalign.dyads,loc.entropy,loc.herfindahl,tenure.total,tenure.manager,IsDirector,IsVP,num.dir.total.reports,org.FTE.size,org.total.size,org.FTE.yrly.growth,avg.tenure,avg.level,avg.depth,avg.span,perc.managers.single.FTE,perc.managers.two.FTE,ratio.VP.to.FTE,ratio.Dir.to.FTE,ratio.SWE.to.PM,ratio.UX.to.PM,ratio.TechPM.to.PM,num.locs,perc.manager.coloc,num.lonely.FTE,direct.report.satisfaction,VP.DIR.vision,count.VP.DIR.vision,VP.DIR.decisions,count.VP.DIR.decisions,org.climate.satisfaction,count.org.climate.satisfaction,org.climate.strong.performance,org.climate.avg.performance,avg.time.in.level,avg.promo.rate
Meta,Ehsan,product management,UK-LON,6,9,0,1,1,1,0,1,5,1,6,0,9,0,0,1,1.5,1.3,0,0,9,10,10,1,2.5,4.2,6.9,9,0,0,0,0,0,0,0,2,0.6,0,0.89,0,0,0,0,0.83,6,0.5,0.3,1.5,0
Michaela,Valerio,ux team,US-SFO,5,2,0,1,1,1,0,1,7,1,6,0,2,0,0,1,2.8,0.9,0,0,3,3,4,2,2.4,4,8.7,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8,0.2,2,0
Michaelia,Jarmall,engineering,US-SFO,6,4,3,2,2,2,0,0,4,1,9,3,23,0,0,1,11.5,4.3,0,0,4,28,28,0.22,4.4,4.5,6.8,6.8,0,0,0,0,0,0,0,4,0.43,0,0.93,0,0,0,0,0.89,27,0.7,0.3,2.6,0.1
Michaell,Orvil,product management,US-SFO,8,4,4,2,3,2.75,0.5,0,5,4,9,0,48,0,0.503258335,0.802469136,11,8.6,1,0,4,71,120,0.42,5.1,4.2,8.4,7.8,0,0,0,71,0,0,0,4,0.93,0,0.97,0.9492,59,0.9483,58,0.89,64,0.58,0.43,2.9,0.07
Michelle,Jontae,engineering,US-SFO,9,4,3,2,4,3.333333333,1.154700538,0,4,5,9,1,52,0,1.198192411,0.4921875,14.3,12,1,0,4,79,84,0.61,5.4,4.7,7.9,4.6,0,0.18,0,40,0,0,0,6,0.84,1,0.94,0.8039,51,0.902,51,0.93,67,0.67,0.33,2.7,0.09
Mick,Kandace,engineering,US-SFO,7,17,2,2,2,2,0,0,4,3,8,0,8,0,0.918295834,0.555555556,4.7,3.1,0,0,17,24,26,0.26,3.1,5,6.2,7.7,0,0,0,0,0,0,0,3,0.75,0,0.98,0,0,0,0,1,16,0.5,0.4,2.3,0.1
Mickael,Wyndell,product management,UK-LON,8,4,4,2,3,2.5,0.577350269,0,4,3,10,0,32,0,0,1,1.7,1.7,1,0,4,41,42,-0.05,4.9,4.3,7.2,4.4,0,0.11,0,41,0,0,0,1,1,0,0.88,0.6786,28,0.7586,29,0.84,37,0.71,0.28,3.1,0.05
Mickenzie,Viktor,engineering,US-SFO,5,2,0,1,1,1,0,1,6,1,7,0,2,0,0,1,9.4,5.3,0,0,2,3,3,0,3.7,4.3,7.7,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.3,2.7,0
Mieisha,Silvina,product management,US-SFO,8,5,5,2,3,2.4,0.547722558,0,4,4,9,3,42,0,0,1,9.6,4.9,1,0,5,51,74,2.92,5.4,4.9,7.3,4.2,0.17,0.17,0,26,0,0,0.3,11,0.59,0,0.91,0.5556,18,0.6111,18,0.94,16,0.63,0.37,2.3,0.1
Mikah,Sora,product management,US-CAM,7,5,2,2,2,2,0,0,6,2,7,0,11,0,0,1,9.3,6.4,0,0,5,15,16,-0.06,5.5,4.6,8.5,4.7,0,0,0,0,0,0,0,1,0.93,0,0.86,0,0,0,0,0.92,12,0.7,0.3,2.5,0.1
Mikal,Shirita,engineering,US-NYC,6,5,0,1,1,1,0,1,6,1,7,0,5,0,0,1,9.1,1,0,0,5,6,6,0.5,3.8,3.8,7.8,5,0,0,0,0,0,0,0,1,0.83,0,0.97,0,0,0,0,1,4,0.6,0.4,1.8,0.3
Mikos,Camella,operations,US-SFO,7,2,1,2,2,2,0,0,5,2,9,0,2,0,0,1,3.9,3.6,0,0,2,4,16,0,5.7,5.5,7,1.5,0.5,0.5,0,0,0,0,0,2,0.75,0,0.77,0,0,0,0,0,0,0.5,0.5,2.9,0
Milford,Sharona,research,US-SFO,5,4,0,1,1,1,0,1,6,1,7,0,4,0,0,1,8.3,0.6,0,0,4,5,5,4,2,3.8,7.8,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,1.2,0
Millisa,Carmilla,product management,US-BVE,7,5,1,2,2,2,0,0,4,1,10,1,3,0,0,1,10.8,5.8,0,0,5,9,9,8,5.7,5.4,6.2,4,0,0,0,0,0,0,0,5,0,0,0.85,0,0,0,0,1,5,0.6,0.4,1.6,0.1
